==23589== NVPROF is profiling process 23589, command: ./bin/fargoGPU in/hd100.par
==23589== Profiling application: ./bin/fargoGPU in/hd100.par
==23589== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
357.73ms  3.1670us                    -               -         -         -         -  4.0000KB  1.2045GB/s  Quadro M4000 (0         1         7  [CUDA memcpy DtoH]
357.76ms  98.655us                    -               -         -         -         -  8.0000MB  79.190GB/s  Quadro M4000 (0         1         7  [CUDA memset]
357.87ms  97.950us                    -               -         -         -         -  8.0000MB  79.760GB/s  Quadro M4000 (0         1         7  [CUDA memset]
357.97ms  97.887us                    -               -         -         -         -  8.0000MB  79.811GB/s  Quadro M4000 (0         1         7  [CUDA memset]
358.07ms  97.758us                    -               -         -         -         -  8.0000MB  79.917GB/s  Quadro M4000 (0         1         7  [CUDA memset]
358.17ms  1.1945ms          (128 128 1)       (16 16 1)        27        0B        0B         -           -  Quadro M4000 (0         1         7  ComputeForceKernel(float*, float*, float*, float*, float, float, float, int, int, float, float*, float, float*, float*, float*, float*, int, float) [628]
359.38ms     571ns                    -               -         -         -         -  4.0000KB  6.6807GB/s  Quadro M4000 (0         1         7  [CUDA memset]
359.40ms  66.879us           (1024 1 1)       (256 1 1)        10        0B  1.0000KB         -           -  Quadro M4000 (0         1         7  void DeviceReduceKernel<bool=0>(float*, float*, unsigned int) [636]
359.48ms  2.9120us                    -               -         -         -         -  4.0000KB  1.3100GB/s  Quadro M4000 (0         1         7  [CUDA memcpy DtoH]
359.51ms     604ns                    -               -         -         -         -  4.0000KB  6.3157GB/s  Quadro M4000 (0         1         7  [CUDA memset]
359.54ms  62.880us           (1024 1 1)       (256 1 1)        10        0B  1.0000KB         -           -  Quadro M4000 (0         1         7  void DeviceReduceKernel<bool=0>(float*, float*, unsigned int) [646]
359.61ms  2.8800us                    -               -         -         -         -  4.0000KB  1.3245GB/s  Quadro M4000 (0         1         7  [CUDA memcpy DtoH]
359.64ms     783ns                    -               -         -         -         -  4.0000KB  4.8719GB/s  Quadro M4000 (0         1         7  [CUDA memset]
359.67ms  62.975us           (1024 1 1)       (256 1 1)        10        0B  1.0000KB         -           -  Quadro M4000 (0         1         7  void DeviceReduceKernel<bool=0>(float*, float*, unsigned int) [656]
359.74ms  2.8800us                    -               -         -         -         -  4.0000KB  1.3245GB/s  Quadro M4000 (0         1         7  [CUDA memcpy DtoH]
359.77ms     618ns                    -               -         -         -         -  4.0000KB  6.1726GB/s  Quadro M4000 (0         1         7  [CUDA memset]
359.80ms  62.879us           (1024 1 1)       (256 1 1)        10        0B  1.0000KB         -           -  Quadro M4000 (0         1         7  void DeviceReduceKernel<bool=0>(float*, float*, unsigned int) [666]
359.87ms  2.8480us                    -               -         -         -         -  4.0000KB  1.3394GB/s  Quadro M4000 (0         1         7  [CUDA memcpy DtoH]
